id_transacao,id_vendedor,id_comprador,tipo,valor,data
1,4,1,"credito_de_carbono",1867.67,"2024-08-16T00:00:00"
2,5,4,"credito_de_carbono",4521.81,"2025-07-12T00:00:00"
3,3,19,"venda_de_biomassa",481.16,"2024-04-05T00:00:00"
4,7,8,"credito_de_carbono",3731.51,"2025-07-28T00:00:00"
5,7,18,"venda_de_biomassa",1556.51,"2025-08-26T00:00:00"
6,9,1,"compra_de_biomassa",4279.39,"2024-12-14T00:00:00"
7,9,5,"compra_de_biomassa",5756.11,"2024-12-10T00:00:00"
8,4,3,"venda_de_biomassa",851.28,"2024-12-18T00:00:00"
9,20,9,"compra_de_biomassa",4459.47,"2025-07-03T00:00:00"
10,4,13,"compra_de_biomassa",3446.63,"2026-04-29T00:00:00"
11,20,12,"credito_de_carbono",1396.04,"2024-03-12T00:00:00"
12,2,8,"venda_de_biomassa",5915.76,"2024-08-26T00:00:00"
13,4,13,"venda_de_biomassa",2884.44,"2026-05-04T00:00:00"
14,12,6,"venda_de_biomassa",2325.04,"2025-11-17T00:00:00"
15,9,3,"credito_de_carbono",3919.38,"2025-06-30T00:00:00"
16,8,6,"venda_de_biomassa",2462.9,"2025-10-17T00:00:00"
17,18,8,"credito_de_carbono",2148.41,"2026-02-25T00:00:00"
18,2,8,"compra_de_biomassa",4888.76,"2025-02-14T00:00:00"
19,9,3,"compra_de_biomassa",5504.88,"2025-08-03T00:00:00"
20,11,7,"credito_de_carbono",3145.62,"2025-10-20T00:00:00"
21,15,5,"venda_de_biomassa",1095.89,"2026-02-01T00:00:00"
22,18,18,"venda_de_biomassa",4557.98,"2025-03-14T00:00:00"
23,19,13,"venda_de_biomassa",1550.13,"2024-05-21T00:00:00"
24,17,16,"compra_de_biomassa",4607.96,"2024-04-22T00:00:00"
25,5,6,"credito_de_carbono",2706.31,"2024-03-06T00:00:00"
26,13,13,"credito_de_carbono",5977.89,"2025-06-25T00:00:00"
27,9,18,"compra_de_biomassa",4177.62,"2024-04-27T00:00:00"
28,18,9,"credito_de_carbono",2239.0,"2024-10-27T00:00:00"
29,14,6,"venda_de_biomassa",318.5,"2026-01-09T00:00:00"
30,9,17,"compra_de_biomassa",3193.79,"2024-04-18T00:00:00"
31,10,17,"credito_de_carbono",1433.79,"2025-01-17T00:00:00"
32,6,18,"credito_de_carbono",5535.41,"2025-09-05T00:00:00"
33,11,16,"compra_de_biomassa",937.65,"2025-01-06T00:00:00"
34,10,8,"compra_de_biomassa",1672.97,"2025-08-03T00:00:00"
35,3,3,"credito_de_carbono",3070.15,"2024-03-11T00:00:00"
36,18,5,"compra_de_biomassa",4060.58,"2025-07-16T00:00:00"
37,6,9,"credito_de_carbono",5272.87,"2025-03-09T00:00:00"
38,7,18,"credito_de_carbono",4232.25,"2025-12-31T00:00:00"
39,10,13,"credito_de_carbono",4004.3,"2025-03-24T00:00:00"
